code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
V/B.4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plati nationale directe complementare,Direct complementary national payments,Description corresponds,,,,,,
VI/A.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Bemutató üzemi programok (EMVA, EU)","EAFRD - Presentation Operational Programs (EAFRD, EU)                                                                                                                                                               ","Kim: Moved from III.4 to VI/A1 to match EAFRD, but still poor fit. Frida: unsure, could be this one as only one that mentions operational programs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,,,,VI/B.1,Number corresponds,EAFRD - ND - Промоционални програми - Промоционални програми,"EAFRD - ND - Promotional Programs - Promotional Programs', / ","Could be this one but unsure, could also be measure VI/A.1 on row 100. KIM: Deleted trailing space. ",,,,,EGFL: Informations- und Absatzförderungsmaßnahmen,EAGF: information and promotion measures / information and sales promotion measures,"KIM: DEU confirmed the two measures VI/B.1 and VI/A.1 are for the same goal but under different programming periods. Payments allowed through 2015. These two measures should be combined in analysis. FRIDA: Could be this one but unsure, could also be measure VI/A.1 on row 100",Information and promotion measures Regulation (EC) N° 3/2008,Same formulation and numbers corresponding,Edendusmeetmed - Piimatooted (VI/B.1),Promotion Measures - Dairy Products (VI / B.1) / ,Number and description corresponds,VI/B.1   Information and promotion measures,Number and description corresponds,VI/B.1 - Soutien actions d'information et de promotion (Reg 3/2008),VI / B.1 - Support for information and promotion actions (Reg 3/2008),Number and description corresponds,Promotion measures,"Could be this one but unsure, could also be measure VI/A.1 on row 100","VI/Β.1 Μέτρα ενημέρωσης και προώθησης για τα γεωργικά προϊόντα και τον τρόπο παραγωγής τους, καθώς και για τα προϊόντα διατροφής με βάση γεωργικά προϊόντα (ΕΓΤΕ)","VI / B.1 Information and promotion measures for agricultural products and their mode of production, as well as foodstuffs based on agricultural products (EAGF)",Number and description corresponds,Promotivne manifestacije,Promotional events,"Could be this one but unsure, could also be measure VI/A.1 on row 100",,,,,,Žemės ūkio produktų vartojimo skatinimas vidaus rinkoje (EAGF - other),Promotion of usage of agricultural products within the internal market (EAGF - other),Only one that mentions promotion measures and internal market. Could also be measure VI/A.1 on row 100,,,Veicināšanas pasākumi iekšējā tirgū,Promotion measures in the internal market / ,"Could be this one but unsure, could also be measure VI/A.1 on row 100",,,VI/B.01. Voorlichtings- en afzetbevorderingsacties,VI / B.01.Information and promotion campaigns / ,Number and description corresponds,VI/B.1 Działania informacyjne i promocyjne zapewniane w rozporządzeniu (WE) nr 3/2008,VI / B.1. Information and publicity measures provided for in Regulation (EC) No 3/2008,Number and description corresponds,V/B.1,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",Masuri de informare si promovare a produselor agricole pe piata interna si pe piata tarilor terte - R.501/08 R.688/11,Measures for the information and promotion of agricultural products on the domestic market and on the market of third countries - R.501 / 08 R.688 / 11,"Kim: confirmed Regulation 201/2008 lays down detailed rules for 3/2008, which underlies this chapter, so this is correct. Frida: Could be this one but unsure, could also be measure VI/A.1 on row 100",,,VI/B.1 Ukrepi informiranja in promocije  / Information and promotion measures &nbsp,Number and description corresponds,,
VI/C.1,,,,,,,,,,,,,,,,,,,,,VI/C.1   POSEI,Number and description corresponds,VI/C.1 - Aides POSEI,VI / C.1 - POSEI aid,Number and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V/C.1,"FRIDA: First letter in number djoes not match as it is IV and not V, but the rest of the number does. KIM: Confirmed belongs here using measure number, regulation number and description in ""Consulto Fundos (Medidas)"" list downloaded from Portuguese transparency website. ",,,,,,,,,
VI/D.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VI/Δ.1 Μικρά νησιά του Αιγαίου Πελάγους (ΕΓΤΕ),VI / D.1 Small Aegean Islands (EAGF),Number and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,Schulmilchprogramm (6),School Milk Program (6),"Description correspond, numbers don't ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.8,"Kompetenzentwicklung, Förderveranstaltungen und Durchführung (M341) (341)","Competence development, funding events and implementation (M341) (341)","Only possible match, number not corresponding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,Informations- und Absatzförderungsmaßnahmen gem. VO (EG) Nr. 3/2008 (5),Information and promotion measures acc. Regulation (EC) No 3/2008 (5),Everything matches ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,EAGF DP - ЕЖСК - Схема за обвързано подпомагане за млечни крави и месодайни крави под селекционен контрол (ЕЖСК),EAGF DP - EWS - Scheme for coupled support for dairy cows and meat cows under breeding/selective control,Only one that mentions  cows. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,EAGF DP - СКБТ - Схема за крави с бозаещи телета (СКБТ),"EAGF DP - CCTM - Sucker cow scheme (CCTM) ',  ",Only one that mentions  cows. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,EAGF DP - СКЮ - Схема за обвързано подпомагане за месодайни крави и юници (СКЮ),"EAGF DP - JCC - Tied support scheme for meat cows and heifers (SCI) ',  ",Only one that mentions  cows. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,EAGF DP - СМК - Схема за обвързано подпомагане за млечни крави (СМК),"EAGF DP - CMS - Tied Support Scheme for Dairy Cows (CAC) ',",Only one that mentions  cows. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,"EAFRD - ND - ПНДЖ 1 - Схема за преходна национална помощ за говеда, необвързана с производството (НДЖ 1)","EAFRD - ND - PNGC 1 - Transitional National Aid Scheme for cattle, not coupled with production (NDG 1)",Could also be measure 1.7 on row 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,"EAFRD - ND - ПНДЖ 3 - Схема за преходна национална помощ за овце-майки и/или кози-майки, обвързана с производството (ПНДЖ 3)",EAFRD - ND – RDP3 – Production coupled scheme for transitiomal national aid for ewe and she-goat,Only one that mentions ewes. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,EAGF DP - ДЖСК - Схема за обвързано подпомагане за овце-майки и кози-майки под селекционен контрол (ДЖСК),EAGF DP - JSC - Coupled scheme for Support for ewe and she-goats under breeding control (JSK); not sure the term is breeding control – it is related to some kind of selection process,only one that mentions ewes. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,EAGF DP - ДПЖ - Схема за обвързано подпомагане за овце-майки и кози-майки (ДПЖ),EAGF DP - Coupled scheme for support for ewe and she-goats,Only one that mentions ewes. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,EAGF DP - НДЖ 5 - Схема за отглеждане на овце майки и кози майки в необлагодетелствани райони (НДЖ5),EAGF – DP – NGE5 – Scheme for breeding ewe and she-goat in less-favoured areas (NGE5),only one that mentions ewes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.5,,,,,,EAGF DP - НДЖ 4 - Схема за отглеждане на овце майки и кози майки в икономически уязвими общини в Южна България (НДЖ4),EAGF – DP – NGE4 – Scheme for breeding ewe and she-goat in economically vulnerable municipalitues in Southern Bulgaria (NGE4),only one that mentions ewes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,"EAGF DP - НДКМ2 - Схема за поддържане на производството на краве мляко в необлагодетелстваните райони, обвързана с производството (НДКМ2)",EAGF DP - NDKM2 – Production coupled scheme for sustaining cow's milk production in less favoured areas (NKMM2),"Only one that mentions support for dairy in certain areas, but unsure. KIM: Deleted leading and trailing space. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,"EAGF DP - НДКМ3 - Схема за поддържане на производството на краве мляко в нитратно уязвимите зони, обвързана с производството (НДКМ3)",EAGF DP - NDKM3 – Production coupled scheme for sustaining cow's milk production in nitrate vulnerable zones (NKMM2),"Only one that mentions support for dairy in certain areas, but unsure. KIM: Deleted trailing space. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,EAGF DP - Биволи - Схема за обвързано подпомагане за биволи,EAGF DP – Buffalo – Scheme for a coupled support of buffaloes,Unsure but fits no where else. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,"EAFRD - ND - ПНДТ - Схема за преходна национална помощ за тютюн, необвързана с производството (ПНДТ)","EAFRD - ND - PNDT - Transitional National Aid Scheme for tobacco, not coupled with production (TDI)",Unsure but fits no where else. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.3,,,,,,EAGF DP - СПП - Схема за преразпределително плащане (СПП),EAGF – DP – SRP - Scheme for redistributive payment (SRP),"KIM: Added code in column B, formerly missing. FRIDA: Only one that mentions redistributive payment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.4,,,,,,EAFRD - ND - Традиционни практики за сезонна паша на животните (пасторализъм) - Традиционни практики за сезонна паша на животните (пасторализъм),EAFRD - ND - Traditional seasonal grazing practices (pastoralism) - Traditional practices for seasonal grazing of animals (pastoralism) / ,unsure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAFRD - ND - Млечни продукти с минимум 75 на сто съдържание на мляко и с до 5 на сто добавена захар/мед – в случаите, в които млякото е с добавени плодове, овесени ядки или какао, попадащи под номенклатурни кодове по КН 04031091 - Училищно мляко","EAFRD - ND - Milk products with a minimum of 75% milk content and up to 5% added sugar / honey - in cases where the milk is with added fruit, oats or cocoa falling within CN codes 04031091 - School milk", only one that mentions school. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAFRD - ND - Прясно пастьоризирано мляко, попадащо под номенклатурен код по КН 040120, Кисело мляко, попадащо под номенклатурни кодове по КН 04031011 и Млечни продукти с минимум 90 на сто съдържание на мляко и с до 5 на сто добавена захар/мед – в случаите, в които млякото е с добавен плодов сок или какао, попадащи под номенклатурни кодове по КН 04031091 - Училищно мляко","EAFRD - ND - Fresh pasteurized milk falling within CN code 040120, Yoghurt falling within CN codes 0403 10 11 and milk products with a minimum milk solid content of 90% and up to 5% added sugar / honey - in cases , in which milk is added with added fruit juice or cocoa falling within CN codes 0403 10 91 - School milk /",only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,EAFRD - ND - Схема за плодове в училище - Схема за плодове в училище,"EAFRD - ND - School Fruit Scheme - School Fruit Scheme ',  /",Only one that mentions school. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,EAFRD - ND - Училищни схеми - Училищни схеми,"EAFRD - ND - School Schemes - School Schemes', / ",Only one that mentions school. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,EAGF - Училищни схеми - Училищни схеми                                                                                                                                                                                   ,"EAGF - School Schemes - School Schemes',  / ",Only one that mentions school. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,EAGF - Схема за плодове в училище - Схема за плодове в училище,"EAGF - School Fruit Scheme - School Fruit Scheme ', /",Only one that mentions school. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAGF - Бяло саламурено сирене и кашкавал, попадащи под номенклатурен код по КН 0406 - Училищно мляко","EAGF - White brined cheese and cheese falling within CN code 0406 - School milk, /",Only one that mentions school. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAGF - Млечни продукти с минимум 75 на сто съдържание на мляко и с до 5 на сто добавена захар/мед – в случаите, в които млякото е с добавени плодове, овесени ядки или какао, попадащи под номенклатурни кодове по КН 04031091 - Училищно мляко","EAGF - Milk products with a minimum of 75% milk content and up to 5% added sugar / honey - in cases where the milk has added fruit, oats or cocoa falling within CN codes 04031091 - School milk ' , / ", only one that mentions school. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAGF - Прясно пастьоризирано мляко, попадащо под номенклатурен код по КН 040120, Кисело мляко, попадащо под номенклатурни кодове по КН 04031011 и Млечни продукти с минимум 90 на сто съдържание на мляко и с до 5 на сто добавена захар/мед – в случаите, в които млякото е с добавен плодов сок или какао, попадащи под номенклатурни кодове по КН 04031091 - Училищно мляко","EAGF - Fresh pasteurized milk falling within CN code 040120, Yoghurt falling within CN codes 04031011 and Dairy products with a minimum milk solid content of 90% and up to 5% added sugar / honey - in cases of which milk is added with added fruit juice or cocoa falling within CN codes 0403 10 91 - School milk, / ", only one that mentions school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,"EAFRD - ND - Бяло саламурено сирене и кашкавал, попадащи под номенклатурен код по КН 0406 - Училищно мляко",EAFRD - ND - White brined cheese and yellow cheese falling within CN code 0406 - School milk,Kim added 6 April 2020 after returned non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,EAGF - Училищни схеми - Училищни схеми,EAGF - School Schemes - School Schemes,Kim added 6 April 2020 after returned non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,EAGF DP - СЗ - Схема за обвързано подпомагане за зеленчуци (СЗ),EAGF DP - SV – Scheme for coupled support for vegetables (SV),Only one that mentions vegetables/fruit and not school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,, EAGF DP - СЗо - Схема за обвързано подпомагане за зеленчуци - оранжерийно производство (СЗо)                                                                                                                                                                                                                                                   ,EAGF DP – SVG – Scheme for coupled support for vegetables – greenhouse production (SVG),Only one that mentions vegetables/fruit and not school. KIM: Deleted  trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,EAGF DP - СП - Схема за обвързано подпомагане за плодове (СП),EAGF DP – SF – Scheme for coupled support for fruits (SF),Only one that mentions vegetables/fruit and not school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,EAGF DP - СППЗ - СППЗ,EAGF DP - SWP - SWP ,"Only one that mentions vegetables and not school. Unsure. Native speaker wrote ""(This might be - scheme for specific support for the producers of fruits and vegetables - Схемата за специфично подпомагане на производителите на плодове и зеленчуци (СППЗ)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,EAGF DP - СЗо - Схема за обвързано подпомагане за зеленчуци - оранжерийно производство (СЗо),EAGF DP - WHO - Schedule for coupled support for vegetables - greenhouse production (WHO),Kim added 6 April 2020 after returned non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,EAGF - Национални програми за подпомагане за лозаро-винарския сектор - Национални програми за подпомагане за лозаро-винарския сектор,"EAGF - National support programs for the wine sector - National support programs for the wine-growing sector ', /",Only one that mentions wine. KIM: Deleted leading space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.7,,,,,,EAGF - Национална пчеларска програма - Национална пчеларска програма,"EAGF - National Beekeeping Program - National Beekeeping Program ',  / ",Only one that mentions apiculture (beekeeping). KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.7,,,,,,EAFRD - ND - Биологично пчеларство - Биологично пчеларство,EAFRD - ND - Organic Beekeeping ,Only one that mentions apiculture (beekeeping),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.10,,,,,,EAFRD - ND - Кризисни мерки за предоставяне на извънредно подпомагане на производителите на животински продукти - Кризисни мерки за предоставяне на извънредно подпомагане на производителите на животински продукти,EAFRD - ND - Crisis Measures to Provide Extraordinary Assistance to Producers of Animal Products - Crisis Measures to Provide Extraordinary Assistance to Producers of Animal Products,"Unsure of this, could also be measure IV/A.5 on row 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,EAFRD - ND - Поддържане на местообитанията на зимуващите видове гъски и ливаден блатар в обработваеми земи с орнитологично значение (ВПС-4.1) - Поддържане на местообитанията на зимуващите видове гъски и ливаден блатар в обработваеми земи с орнитологично значение (ВПС-4.1),EAFRD - ND - Maintenance of the habitats of wintering geese and meadowworms in arable land (HNV-4.1) - Maintenance of the habitats of wintering geese and meadowworms in arable land of ornithological significance (HNV-4.1) /,Description corresponds/native speaker recommendation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,EAFRD - ND - Поддържане на местообитанията на Царски орел и Египетски лешояд в обработваеми земи с орнитологично значение (ВПС-4.2) - Поддържане на местообитанията на Царски орел и Египетски лешояд в обработваеми земи с орнитологично значение (ВПС-4.2),EAFRD - ND - Maintenance of the habitats of the Eastern Imperial Eagle and the Egyptian Vulture in arable land designated as Important Bird and Biodiversity Areas (HNV-4.2) - Maintenance of the habitats of the Eastern Imperial Eagle and the Egyptian Vulture in arable land designated as Important Bird and Biodiversity Areas (HNV – 4.2),Description corresponds/native speaker recommendation. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,"EAFRD - ND - Опазване на застрашени от изчезване местни сортове, важни за селското стопанство - Опазване на застрашени от изчезване местни сортове","EAFRD - ND - Protection of endangered local varieties important for agriculture - Conservation of endangered local varieties',",Description corresponds/native speaker recommendation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,EAFRD - ND - Възстановяване и поддържане на затревени площи с висока природна стойност (ВПС-1) - Възстановяване и поддържане на затревени площи с висока природна стойност (ВПС-1),EAFRD - ND - Restoration and maintenance of high nature value grassland (HNV-1) -  Restoration and maintenance of high nature value grassland (HNV-1),Description corresponds/native speaker recommendation. KIM: Deleted leading and trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,EAFRD - ND - Контрол на почвената ерозия - Контрол на почвената ерозия,"EAFRD - ND - Soil erosion control - Soil erosion control ', /",Description corresponds/native speaker recommendation. KIM: Deleted leading space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,,,,,,EAFRD - ND - АЕП - АЕП,EAFRD - ND - AEP - AEP,Kim added 6 April 2020 after returned non-match. Found Google books reference for AEP as agri-environment programme (page 10: https://tinyurl.com/yxxz9wt5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.16,,,,,,EAFRD - ND - Биологично животновъдство - Биологично животновъдство,EAFRD - ND - Organic livestock ,Only one that mentions organic farming. KIM: Deleted trailing space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV/A.16,,,,,,EAFRD - ND - Биологично растениевъдство - Биологично растениевъдство,EAFRD - ND - Organic Crops - Organic Crops,Kim added 6 April 2020 after returned non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.2.,,,,,,EAGF DP - Схема за млади земеделски стопани (МЗС) - Схема за млади земеделски стопани (МЗС),EAGF DP - Young Farmers Scheme (YF) - Young Farmers Scheme (YF), could also be measure IV/A.6 on row 34. KIM: Deleted leading space. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.1.14,,,,,,"EAGF - Схема ""Групи производители"" - Схема ""Групи производители""","EAGF – Scheme ""Producer Groups"" - Scheme ""Producer Groups"" ",Could also be measure  IV/A.14 on row 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.2.9,,,,,,EAFRD - ND - Подмярка 8.1. Залесяване и поддръжка. Преходни плащания по мярка 223 - Подмярка 8.1. Залесяване и поддръжка. Преходни плащания по мярка 223,"EAFRD - ND - Sub-measure 8.1. Afforestation and maintenance. Transitional payments under measure 223 - Sub-measure 8.1. Afforestation and maintenance. Transitional payments under Measure 223 ', / ", this could also be measure IV/A.9 at row 37. KIM: Matches measure number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/B.3.4,,,,,,"EAFRD - ND - Мярка 321 ""Основни услуги за населението и икономиката в селските райони"" - Мярка 321 ""Основни услуги за населението и икономиката в селските райони""","EAFRD - ND - Measure 321  ""Basic Services for the Population and the Economy in Rural Areas"" -Measure 321 ""Main services for the population and the economy of the rural areas""","Description corresponding. KIM: Native speaker match from website. Measure matches. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,,,,,,"EAFRD - ND - Схема ""Промоционални програми"" - Схема ""Промоционални програми""","EAFRD - ND - Scheme ""Promotional Programs"" - Scheme ""Promotional Programs"" / ","Could be this one but unsure, could also be measure VI/A.1 on row 100 (combine in data analysis). KIM: Deleted trailing space. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,,,,,,"EAGF - Схема ""Промоционални програми"" - Схема ""Промоционални програми""","EAGF - Scheme ""Promotional Programs"" - Scheme ""Promotional Programs"" / ","Could be this one but unsure, could also be measure VI/A.1 on row 100 (combine in data analysis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI/B.1,,,,,,EAGF - Промоционални програми - Промоционални програми,"EAGF - Promotional Programs - Promotional Programs',","Could be this one but unsure, could also be measure VI/A.1 on row 100 (combine in data analysis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,,,,I.2 & I.7,Kim added 6 March 2020 based on unmatched schemes. Decided to allocate here. Not sure what is meant by both schemes being named. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.1,,,,,,,,,III,"Incomplete chapter number, could be anything in Chapter III. Kim added 7 March 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.3,,,,,,,,,III.3,Number corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.6,,,,,,,,,III.6                                                                                                                                                                                                                                                                                                     ,Number corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.1,,,,,,,,,ΙΙΙ.3,"appears identical to the one already matched above, but returned as non-match. Kim added here 7 March 2020. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,ΙΙΙ.4,Number corresponds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.4,,,,,,,,,III.4,Kim added 20 April 2020 after returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,ΙΙΙ.5,Number corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.5,,,,,,,,,III.5,Kim added 20 April 2020 after returned as non-match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.6,,,,,,,,,ΙΙΙ.6,"appears identical to the one already matched above, but returned as non-match. Kim added here 7 March 2020. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.4,,,,,,,,,,,DOJ,"Czech farm office placement. But also placed at measure II.7 on row 15, so could also be that one. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
